@relation D02_k03_N60000-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute X0 numeric
@attribute X1 numeric
@attribute class {c0,c1,c2}
@attribute FoundClusters {Cluster_0,Cluster_1,Cluster_2}

@data
0.251142,0.556433,c0,Cluster_2
0.223667,0.414015,c0,Cluster_1
0.258163,0.41053,c0,Cluster_1
0.335769,0.54771,c0,Cluster_0
0.286147,0.27167,c0,Cluster_2
0.287208,0.473817,c0,Cluster_1
0.299725,0.369981,c0,Cluster_2
0.232709,0.426218,c0,Cluster_1
0.312496,0.490818,c0,Cluster_1
0.306606,0.293544,c0,Cluster_2
0.249705,0.352362,c0,Cluster_2
0.226734,0.343843,c0,Cluster_2
0.286563,0.486236,c0,Cluster_1
0.251765,0.286774,c0,Cluster_2
0.27008,0.455954,c0,Cluster_1
0.251662,0.470533,c0,Cluster_1
0.305933,0.335418,c0,Cluster_2
0.251547,0.489543,c0,Cluster_1
0.252549,0.315608,c0,Cluster_2
0.236201,0.487806,c0,Cluster_1
0.319577,0.457983,c0,Cluster_1
0.269385,0.399351,c0,Cluster_1
0.305177,0.630448,c0,Cluster_0
0.312741,0.246571,c0,Cluster_2
0.285531,0.466416,c0,Cluster_1
0.225744,0.417005,c0,Cluster_1
0.310728,0.30659,c0,Cluster_2
0.285941,0.40758,c0,Cluster_1
0.258169,0.235028,c0,Cluster_2
0.363338,0.586877,c0,Cluster_0
0.239166,0.578766,c0,Cluster_0
0.270363,0.598936,c0,Cluster_0
0.282097,0.442151,c0,Cluster_1
0.277852,0.434645,c0,Cluster_1
0.298297,0.514022,c0,Cluster_1
0.265918,0.3553,c0,Cluster_2
0.295923,0.370011,c0,Cluster_2
0.317769,0.532446,c0,Cluster_2
0.259111,0.511949,c0,Cluster_1
0.231507,0.535117,c0,Cluster_2
0.295229,0.54977,c0,Cluster_0
0.271014,0.335106,c0,Cluster_2
0.276854,0.640521,c0,Cluster_0
0.252769,0.460556,c0,Cluster_1
0.264599,0.548068,c0,Cluster_2
0.234814,0.521678,c0,Cluster_1
0.263134,0.522598,c0,Cluster_1
0.287635,0.656179,c0,Cluster_0
0.239492,0.39291,c0,Cluster_2
0.304844,0.523499,c0,Cluster_2
0.269331,0.606921,c0,Cluster_0
0.246859,0.44593,c0,Cluster_1
0.182591,0.323498,c0,Cluster_2
0.311491,0.386785,c0,Cluster_2
0.268133,0.333116,c0,Cluster_2
0.341918,0.474656,c0,Cluster_1
0.277965,0.543084,c0,Cluster_2
0.260959,0.324232,c0,Cluster_2
0.238179,0.443217,c0,Cluster_1
0.306947,0.42457,c0,Cluster_1
0.290457,0.699974,c0,Cluster_0
0.253085,0.395812,c0,Cluster_2
0.300966,0.280221,c0,Cluster_2
0.271668,0.456689,c0,Cluster_1
0.220294,0.58644,c0,Cluster_0
0.228406,0.606894,c0,Cluster_0
0.300489,0.487073,c0,Cluster_1
0.280734,0.385501,c0,Cluster_2
0.345093,0.57346,c0,Cluster_0
0.276531,0.54751,c0,Cluster_2
0.262581,0.408975,c0,Cluster_1
0.293136,0.536896,c0,Cluster_2
0.34502,0.296441,c0,Cluster_2
0.195617,0.343246,c0,Cluster_2
0.31061,0.312911,c0,Cluster_2
0.293402,0.48761,c0,Cluster_1
0.333047,0.469653,c0,Cluster_1
0.28936,0.524826,c0,Cluster_2
0.282454,0.25765,c0,Cluster_2
0.309568,0.54513,c0,Cluster_0
0.249942,0.454231,c0,Cluster_1
0.319056,0.465077,c0,Cluster_1
0.332684,0.476635,c0,Cluster_1
0.302902,0.610694,c0,Cluster_0
0.268047,0.516614,c0,Cluster_1
0.226211,0.376747,c0,Cluster_2
0.274136,0.506347,c0,Cluster_1
0.298313,0.574708,c0,Cluster_0
0.245646,0.430905,c0,Cluster_1
0.288323,0.485344,c0,Cluster_1
0.274628,0.220326,c0,Cluster_2
0.262721,0.345074,c0,Cluster_2
0.222904,0.549361,c0,Cluster_2
0.222212,0.431389,c0,Cluster_1
0.247454,0.459128,c0,Cluster_1
0.28621,0.496767,c0,Cluster_1
0.245881,0.466225,c0,Cluster_1
0.205682,0.420789,c0,Cluster_1
0.31174,0.457521,c0,Cluster_1
0.250474,0.553358,c0,Cluster_2
0.232403,0.494138,c0,Cluster_1
0.238096,0.491808,c0,Cluster_1
0.273559,0.545966,c0,Cluster_2
0.269021,0.625782,c0,Cluster_0
0.317845,0.457961,c0,Cluster_1
0.236927,0.430044,c0,Cluster_1
0.301308,0.477435,c0,Cluster_1
0.273531,0.583772,c0,Cluster_0
0.228534,0.437877,c0,Cluster_1
0.292938,0.261932,c0,Cluster_2
0.262893,0.294825,c0,Cluster_2
0.311258,0.543182,c0,Cluster_2
0.268739,0.428077,c0,Cluster_1
0.293115,0.35889,c0,Cluster_2
0.257475,0.563087,c0,Cluster_0
0.248211,0.380297,c0,Cluster_2
0.25692,0.429063,c0,Cluster_1
0.295497,0.368145,c0,Cluster_2
0.225873,0.206692,c0,Cluster_2
0.28042,0.662823,c0,Cluster_0
0.268149,0.456822,c0,Cluster_1
0.235977,0.226717,c0,Cluster_2
0.283422,0.594222,c0,Cluster_0
0.293231,0.5091,c0,Cluster_1
0.289655,0.596795,c0,Cluster_0
0.272646,0.373336,c0,Cluster_2
0.300031,0.531503,c0,Cluster_2
0.289196,0.337181,c0,Cluster_2
0.257321,0.475236,c0,Cluster_1
0.243042,0.533518,c0,Cluster_2
0.238895,0.467636,c0,Cluster_1
0.270738,0.624788,c0,Cluster_0
0.269188,0.493491,c0,Cluster_1
0.301211,0.496484,c0,Cluster_1
0.261648,0.459119,c0,Cluster_1
0.304591,0.469625,c0,Cluster_1
0.275175,0.291805,c0,Cluster_2
0.218287,0.368027,c0,Cluster_2
0.289307,0.421486,c0,Cluster_1
0.205317,0.429822,c0,Cluster_1
0.318,0.382919,c0,Cluster_2
0.258567,0.33267,c0,Cluster_2
0.239423,0.540993,c0,Cluster_2
0.24116,0.301546,c0,Cluster_2
0.286758,0.526773,c0,Cluster_2
0.29213,0.43094,c0,Cluster_1
0.268441,0.433282,c0,Cluster_1
0.30464,0.619568,c0,Cluster_0
0.232575,0.404252,c0,Cluster_1
0.24533,0.518711,c0,Cluster_1
0.23358,0.452107,c0,Cluster_1
0.26478,0.439711,c0,Cluster_1
0.265263,0.439971,c0,Cluster_1
0.268867,0.401248,c0,Cluster_1
0.301478,0.299547,c0,Cluster_2
0.261387,0.357964,c0,Cluster_2
0.262446,0.517464,c0,Cluster_1
0.29015,0.578765,c0,Cluster_0
0.238874,0.356344,c0,Cluster_2
0.304452,0.43728,c0,Cluster_1
0.322372,0.453449,c0,Cluster_1
0.239047,0.452063,c0,Cluster_1
0.286115,0.361865,c0,Cluster_2
0.293409,0.450909,c0,Cluster_1
0.242269,0.44424,c0,Cluster_1
0.281309,0.445559,c0,Cluster_1
0.227543,0.484144,c0,Cluster_1
0.297323,0.612132,c0,Cluster_0
0.268429,0.361564,c0,Cluster_2
0.289183,0.55453,c0,Cluster_0
0.299676,0.497022,c0,Cluster_1
0.304392,0.488202,c0,Cluster_1
0.230506,0.4332,c0,Cluster_1
0.259833,0.426599,c0,Cluster_1
0.283159,0.345695,c0,Cluster_2
0.295255,0.328646,c0,Cluster_2
0.315549,0.369346,c0,Cluster_2
0.284943,0.294902,c0,Cluster_2
0.237049,0.634842,c0,Cluster_0
0.269546,0.432626,c0,Cluster_1
0.259655,0.518152,c0,Cluster_1
0.323856,0.419021,c0,Cluster_1
0.286233,0.551254,c0,Cluster_2
0.24461,0.357877,c0,Cluster_2
0.260847,0.344717,c0,Cluster_2
0.324256,0.275855,c0,Cluster_2
0.252431,0.562717,c0,Cluster_0
0.231881,0.366634,c0,Cluster_2
0.313599,0.534728,c0,Cluster_2
0.302243,0.528283,c0,Cluster_2
0.313207,0.520255,c0,Cluster_2
0.261482,0.571842,c0,Cluster_0
0.273889,0.461848,c0,Cluster_1
0.272946,0.487254,c0,Cluster_1
0.31157,0.342745,c0,Cluster_2
0.275064,0.506981,c0,Cluster_1
0.277859,0.406762,c0,Cluster_1
0.283939,0.411704,c0,Cluster_1
0.244131,0.379078,c0,Cluster_2
0.262212,0.068361,c0,Cluster_0
0.250797,0.610923,c0,Cluster_0
0.288949,0.549203,c0,Cluster_2
0.235013,0.517404,c0,Cluster_1
0.295278,0.511124,c0,Cluster_1
0.276283,0.438472,c0,Cluster_1
0.313866,0.297823,c0,Cluster_2
0.307864,0.524691,c0,Cluster_2
0.272738,0.563294,c0,Cluster_0
0.278753,0.462173,c0,Cluster_1
0.19245,0.489239,c0,Cluster_1
0.268832,0.579891,c0,Cluster_0
0.252586,0.460694,c0,Cluster_1
0.298998,0.567005,c0,Cluster_0
0.28144,0.504916,c0,Cluster_1
0.253052,0.2602,c0,Cluster_2
0.278808,0.410115,c0,Cluster_1
0.3009,0.421654,c0,Cluster_1
0.268637,0.596849,c0,Cluster_0
0.254767,0.403102,c0,Cluster_1
0.280253,0.519275,c0,Cluster_1
0.269106,0.51695,c0,Cluster_1
0.265654,0.365528,c0,Cluster_2
0.233671,0.50465,c0,Cluster_1
0.297234,0.515189,c0,Cluster_1
0.268093,0.406961,c0,Cluster_1
0.204108,0.71491,c0,Cluster_0
0.262389,0.546626,c0,Cluster_2
0.2975,0.558546,c0,Cluster_0
0.356789,0.578961,c0,Cluster_0
0.278971,0.432938,c0,Cluster_1
0.316535,0.312991,c0,Cluster_2
0.326968,0.36389,c0,Cluster_2
0.301996,0.302776,c0,Cluster_2
0.282863,0.675148,c0,Cluster_0
0.302215,0.573412,c0,Cluster_0
0.313112,0.549238,c0,Cluster_0
0.281137,0.527241,c0,Cluster_2
0.265047,0.480862,c0,Cluster_1
0.15445,0.295747,c0,Cluster_2
0.282328,0.401432,c0,Cluster_1
0.304886,0.340463,c0,Cluster_2
0.22169,0.516999,c0,Cluster_1
0.271939,0.365211,c0,Cluster_2
0.266746,0.552615,c0,Cluster_2
0.266766,0.680085,c0,Cluster_0
0.259041,0.390803,c0,Cluster_2
0.267135,0.48675,c0,Cluster_1
0.31907,0.322118,c0,Cluster_2
0.278851,0.524004,c0,Cluster_1
0.223356,0.392835,c0,Cluster_1
0.308408,0.455802,c0,Cluster_1
0.195872,0.622039,c0,Cluster_0
0.299715,0.497926,c0,Cluster_1
0.291973,0.412698,c0,Cluster_1
0.248725,0.344622,c0,Cluster_2
0.310489,0.493909,c0,Cluster_1
0.28451,0.429182,c0,Cluster_1
0.242388,0.287715,c0,Cluster_2
0.259535,0.428477,c0,Cluster_1
0.282258,0.395173,c0,Cluster_2
0.27665,0.34043,c0,Cluster_2
0.267147,0.568463,c0,Cluster_0
0.310348,0.612475,c0,Cluster_0
0.253604,0.412046,c0,Cluster_1
0.260281,0.486951,c0,Cluster_1
0.340386,0.3739,c0,Cluster_2
0.348248,0.5573,c0,Cluster_0
0.2577,0.540368,c0,Cluster_2
0.277649,0.435264,c0,Cluster_1
0.226576,0.39198,c0,Cluster_2
0.311476,0.420152,c0,Cluster_1
0.264557,0.342725,c0,Cluster_2
0.259738,0.302062,c0,Cluster_2
0.248622,0.344168,c0,Cluster_2
0.270979,0.442032,c0,Cluster_1
0.316763,0.507,c0,Cluster_1
0.288496,0.347657,c0,Cluster_2
0.274312,0.519973,c0,Cluster_1
0.26833,0.494906,c0,Cluster_1
0.316716,0.298273,c0,Cluster_2
0.322266,0.386301,c0,Cluster_2
0.291445,0.524311,c0,Cluster_2
0.264552,0.616004,c0,Cluster_0
0.3322,0.629948,c0,Cluster_0
0.288378,0.585449,c0,Cluster_0
0.270242,0.525666,c0,Cluster_1
0.271347,0.264402,c0,Cluster_2
0.213642,0.441061,c0,Cluster_1
0.268136,0.610264,c0,Cluster_0
0.295316,0.445941,c0,Cluster_1
0.320225,0.46336,c0,Cluster_1
0.240142,0.468088,c0,Cluster_1
0.203965,0.60272,c0,Cluster_0
0.25906,0.493479,c0,Cluster_1
0.271976,0.521733,c0,Cluster_1
0.264579,0.470464,c0,Cluster_1
0.276848,0.304386,c0,Cluster_2
0.257856,0.701239,c0,Cluster_0
0.225945,0.729851,c0,Cluster_0
0.298267,0.34572,c0,Cluster_2
0.270564,0.199381,c0,Cluster_2
0.227668,0.404296,c0,Cluster_1
0.295907,0.560331,c0,Cluster_0
0.309769,0.372672,c0,Cluster_2
0.27531,0.393498,c0,Cluster_2
0.284135,0.41743,c0,Cluster_1
0.302816,0.451275,c0,Cluster_1
0.309033,0.293984,c0,Cluster_2
0.332359,0.464867,c0,Cluster_1
0.268052,0.504315,c0,Cluster_1
0.27577,0.391643,c0,Cluster_2
0.34006,0.496784,c0,Cluster_1
0.254736,0.547571,c0,Cluster_2
0.30632,0.312524,c0,Cluster_2
0.274658,0.443708,c0,Cluster_1
0.307593,0.500448,c0,Cluster_1
0.30662,0.583641,c0,Cluster_0
0.275396,0.418953,c0,Cluster_1
0.255322,0.648318,c0,Cluster_0
0.245614,0.520653,c0,Cluster_1
0.274454,0.498119,c0,Cluster_1
0.283642,0.384938,c0,Cluster_2
0.346071,0.23721,c0,Cluster_2
0.282361,0.498495,c0,Cluster_1
0.278442,0.501747,c0,Cluster_1
0.217283,0.405005,c0,Cluster_1
0.241692,0.381501,c0,Cluster_2
0.293756,0.582508,c0,Cluster_0
0.306852,0.409072,c0,Cluster_1
0.280315,0.363885,c0,Cluster_2
0.25668,0.365928,c0,Cluster_2
0.26129,0.493011,c0,Cluster_1
0.274066,0.540214,c0,Cluster_2
0.191274,0.498944,c0,Cluster_1
0.285222,0.556192,c0,Cluster_0
0.248816,0.569314,c0,Cluster_0
0.357609,0.342464,c0,Cluster_2
0.25881,0.356061,c0,Cluster_2
0.262256,0.573622,c0,Cluster_0
0.326668,0.440424,c0,Cluster_1
0.253721,0.330885,c0,Cluster_2
0.247656,0.403695,c0,Cluster_1
0.246977,0.297513,c0,Cluster_2
0.295864,0.481636,c0,Cluster_1
0.324227,0.304333,c0,Cluster_2
0.271278,0.370907,c0,Cluster_2
0.305917,0.513776,c0,Cluster_1
0.229995,0.382489,c0,Cluster_2
0.279575,0.398378,c0,Cluster_2
0.273169,0.559859,c0,Cluster_0
0.232061,0.503762,c0,Cluster_1
0.29771,0.342677,c0,Cluster_2
0.319689,0.532209,c0,Cluster_2
0.285728,0.352699,c0,Cluster_2
0.281456,0.627216,c0,Cluster_0
0.254595,0.474782,c0,Cluster_1
0.301754,0.326143,c0,Cluster_2
0.268624,0.423978,c0,Cluster_1
0.261781,0.306744,c0,Cluster_2
0.197323,0.574684,c0,Cluster_2
0.307703,0.534021,c0,Cluster_2
0.274027,0.536581,c0,Cluster_2
0.295905,0.427906,c0,Cluster_1
0.292063,0.40788,c0,Cluster_1
0.247573,0.275908,c0,Cluster_2
0.320678,0.418097,c0,Cluster_1
0.282827,0.483148,c0,Cluster_1
0.232263,0.341801,c0,Cluster_2
0.300589,0.437698,c0,Cluster_1
0.250709,0.429869,c0,Cluster_1
0.238184,0.458785,c0,Cluster_1
0.258881,0.606536,c0,Cluster_0
0.280237,0.58312,c0,Cluster_0
0.351566,0.435219,c0,Cluster_1
0.337721,0.408281,c0,Cluster_2
0.243218,0.417509,c0,Cluster_1
0.260098,0.345172,c0,Cluster_2
0.270407,0.286819,c0,Cluster_2
0.260642,0.409514,c0,Cluster_1
0.241723,0.4684,c0,Cluster_1
0.290023,0.563582,c0,Cluster_0
0.253246,0.406855,c0,Cluster_1
0.253071,0.614222,c0,Cluster_0
0.300873,0.382383,c0,Cluster_2
0.289815,0.478113,c0,Cluster_1
0.279783,0.551191,c0,Cluster_2
0.23605,0.298635,c0,Cluster_2
0.252815,0.413153,c0,Cluster_1
0.259299,0.302204,c0,Cluster_2
0.248523,0.657435,c0,Cluster_0
0.239222,0.281433,c0,Cluster_2
0.295338,0.348864,c0,Cluster_2
0.285547,0.403194,c0,Cluster_1
0.293139,0.518389,c0,Cluster_1
0.258958,0.582055,c0,Cluster_0
0.268307,0.50842,c0,Cluster_1
0.240915,0.547551,c0,Cluster_2
0.313022,0.567577,c0,Cluster_0
0.232102,0.367119,c0,Cluster_2
0.287034,0.259643,c0,Cluster_2
0.347729,0.563587,c0,Cluster_0
0.280067,0.377814,c0,Cluster_2
0.250373,0.466085,c0,Cluster_1
0.265507,0.412888,c0,Cluster_1
0.289375,0.351934,c0,Cluster_2
0.294082,0.272178,c0,Cluster_2
0.310275,0.534491,c0,Cluster_2
0.260522,0.490291,c0,Cluster_1
0.279737,0.536399,c0,Cluster_2
0.296177,0.291324,c0,Cluster_2
0.290754,0.571298,c0,Cluster_0
0.245854,0.635864,c0,Cluster_0
0.276524,0.527624,c0,Cluster_2
0.287604,0.507775,c0,Cluster_1
0.270037,0.348579,c0,Cluster_2
0.296965,0.295362,c0,Cluster_2
0.237396,0.49473,c0,Cluster_1
0.291148,0.412572,c0,Cluster_1
0.253353,0.517294,c0,Cluster_1
0.146163,0.284948,c0,Cluster_2
0.246246,0.425003,c0,Cluster_1
0.266916,0.512397,c0,Cluster_1
0.214295,0.424878,c0,Cluster_1
0.287792,0.518403,c0,Cluster_1
0.284099,0.595872,c0,Cluster_0
0.306654,0.367189,c0,Cluster_2
0.304456,0.514261,c0,Cluster_1
0.318529,0.374647,c0,Cluster_2
0.283847,0.237049,c0,Cluster_2
0.281168,0.352397,c0,Cluster_2
0.279498,0.480681,c0,Cluster_1
0.283035,0.473792,c0,Cluster_1
0.275295,0.528339,c0,Cluster_2
0.317812,0.329669,c0,Cluster_2
0.220265,0.410725,c0,Cluster_1
0.282823,0.502369,c0,Cluster_1
0.275277,0.552673,c0,Cluster_2
0.245805,0.411311,c0,Cluster_1
0.283939,0.477113,c0,Cluster_1
0.24286,0.514903,c0,Cluster_1
0.292021,0.370783,c0,Cluster_2
0.32785,0.516259,c0,Cluster_1
0.304716,0.520271,c0,Cluster_1
0.285181,0.467595,c0,Cluster_1
0.243639,0.695819,c0,Cluster_0
0.315483,0.321876,c0,Cluster_2
0.241631,0.311381,c0,Cluster_2
0.223853,0.416968,c0,Cluster_1
0.289529,0.379151,c0,Cluster_2
0.278087,0.488536,c0,Cluster_1
0.321666,0.540601,c0,Cluster_0
0.273797,0.388737,c0,Cluster_2
0.222689,0.530911,c0,Cluster_1
0.281553,0.584299,c0,Cluster_0
0.270973,0.460281,c0,Cluster_1
0.315974,0.477321,c0,Cluster_1
0.315797,0.555292,c0,Cluster_0
0.247263,0.505676,c0,Cluster_1
0.250611,0.548746,c0,Cluster_2
0.236832,0.299058,c0,Cluster_2
0.234446,0.420042,c0,Cluster_1
0.262162,0.395061,c0,Cluster_2
0.250797,0.450893,c0,Cluster_1
0.297126,0.3202,c0,Cluster_2
0.297702,0.353853,c0,Cluster_2
0.22908,0.631214,c0,Cluster_0
0.306162,0.57787,c0,Cluster_0
0.212538,0.47365,c0,Cluster_1
0.236482,0.498448,c0,Cluster_1
0.260151,0.593219,c0,Cluster_0
0.264591,0.480237,c0,Cluster_1
0.264094,0.553629,c0,Cluster_2
0.260913,0.519917,c0,Cluster_1
0.311465,0.654952,c0,Cluster_0
0.229997,0.411828,c0,Cluster_1
0.264156,0.540476,c0,Cluster_2
0.233255,0.3327,c0,Cluster_2
0.298221,0.588675,c0,Cluster_0
0.309107,0.426514,c0,Cluster_1
0.270128,0.42228,c0,Cluster_1
0.291253,0.342436,c0,Cluster_2
0.273219,0.229046,c0,Cluster_2
0.260169,0.394665,c0,Cluster_2
0.232209,0.47123,c0,Cluster_1
0.287496,0.538773,c0,Cluster_2
0.271418,0.59498,c0,Cluster_0
0.280451,0.581072,c0,Cluster_0
0.264585,0.439972,c0,Cluster_1
0.288176,0.482217,c0,Cluster_1
0.206538,0.426249,c0,Cluster_1
0.31319,0.644676,c0,Cluster_0
0.368748,0.367562,c0,Cluster_2
0.277567,0.463735,c0,Cluster_1
0.296275,0.443857,c0,Cluster_1
0.289722,0.364871,c0,Cluster_2
0.253972,0.445544,c0,Cluster_1
0.278225,0.344779,c0,Cluster_2
0.294998,0.418547,c0,Cluster_1
0.263779,0.484641,c0,Cluster_1
0.328335,0.498391,c0,Cluster_1
0.265954,0.521088,c0,Cluster_1
0.2945,0.45786,c0,Cluster_1
0.263121,0.348489,c0,Cluster_2
0.254298,0.577233,c0,Cluster_0
0.269064,0.560334,c0,Cluster_0
0.250256,0.365836,c0,Cluster_2
0.281943,0.427801,c0,Cluster_1
0.284625,0.288684,c0,Cluster_2
0.332023,0.378136,c0,Cluster_2
0.262276,0.349511,c0,Cluster_2
0.221156,0.419997,c0,Cluster_1
0.275999,0.577564,c0,Cluster_0
0.337892,0.511675,c0,Cluster_1
0.315376,0.444084,c0,Cluster_1
0.33718,0.373713,c0,Cluster_2
0.269908,0.32878,c0,Cluster_2
0.260517,0.405289,c0,Cluster_1
0.296025,0.517193,c0,Cluster_1
0.260373,0.506755,c0,Cluster_1
0.25756,0.514004,c0,Cluster_1
0.325236,0.50994,c0,Cluster_1
0.2519,0.510339,c0,Cluster_1
0.288054,0.515176,c0,Cluster_1
0.239192,0.560604,c0,Cluster_2
0.317706,0.576544,c0,Cluster_0
0.251343,0.487486,c0,Cluster_1
0.292329,0.252799,c0,Cluster_2
0.298149,0.423126,c0,Cluster_1
0.249636,0.43807,c0,Cluster_1
0.257584,0.423276,c0,Cluster_1
0.280546,0.495252,c0,Cluster_1
0.292298,0.422889,c0,Cluster_1
0.261199,0.461207,c0,Cluster_1
0.318468,0.420622,c0,Cluster_1
0.203184,0.619429,c0,Cluster_0
0.219456,0.455869,c0,Cluster_1
0.243273,0.437398,c0,Cluster_1
0.315071,0.513619,c0,Cluster_1
0.320646,0.49322,c0,Cluster_1
0.261519,0.425624,c0,Cluster_1
0.281065,0.423454,c0,Cluster_1
0.286966,0.457142,c0,Cluster_1
0.23231,0.425764,c0,Cluster_1
0.27643,0.502944,c0,Cluster_1
0.230395,0.430246,c0,Cluster_1
0.26658,0.545313,c0,Cluster_2
0.227753,0.482307,c0,Cluster_1
0.2753,0.502191,c0,Cluster_1
0.331361,0.500204,c0,Cluster_1
0.266436,0.546572,c0,Cluster_2
0.256831,0.485519,c0,Cluster_1
0.287731,0.299533,c0,Cluster_2
0.200054,0.438533,c0,Cluster_1
0.278116,0.608425,c0,Cluster_0
0.259958,0.504151,c0,Cluster_1
0.284086,0.450464,c0,Cluster_1
0.296546,0.398683,c0,Cluster_2
0.208026,0.50418,c0,Cluster_1
0.209663,0.379396,c0,Cluster_2
0.232534,0.355302,c0,Cluster_2
0.271254,0.399616,c0,Cluster_1
0.272001,0.410824,c0,Cluster_1
0.281703,0.232955,c0,Cluster_2
0.289796,0.635669,c0,Cluster_0
0.252312,0.464197,c0,Cluster_1
0.205029,0.603133,c0,Cluster_0
0.260744,0.226987,c0,Cluster_2
0.246744,0.538309,c0,Cluster_2
0.280075,0.444858,c0,Cluster_1
0.311071,0.425004,c0,Cluster_1
0.306126,0.322946,c0,Cluster_2
0.304446,0.496054,c0,Cluster_1
0.299264,0.457864,c0,Cluster_1
0.251732,0.45978,c0,Cluster_1
0.295787,0.433775,c0,Cluster_1
0.279781,0.609669,c0,Cluster_0
0.296401,0.492694,c0,Cluster_1
0.245117,0.29754,c0,Cluster_2
0.222796,0.525729,c0,Cluster_1
0.276668,0.537174,c0,Cluster_2
0.296655,0.561728,c0,Cluster_0
0.221011,0.633921,c0,Cluster_0
0.198895,0.379214,c0,Cluster_2
0.26773,0.474228,c0,Cluster_1
0.234317,0.386951,c0,Cluster_2
0.211655,0.514799,c0,Cluster_1
0.266141,0.499113,c0,Cluster_1
0.201087,0.223242,c0,Cluster_2
0.294481,0.596882,c0,Cluster_0
0.241261,0.51522,c0,Cluster_1
0.276062,0.452719,c0,Cluster_1
0.247697,0.496042,c0,Cluster_1
0.291728,0.411482,c0,Cluster_1
0.245025,0.341434,c0,Cluster_2
0.305577,0.474216,c0,Cluster_1
0.310465,0.4807,c0,Cluster_1
0.313966,0.5541,c0,Cluster_0
0.301971,0.53037,c0,Cluster_2
0.265001,0.382082,c0,Cluster_2
0.224324,0.418075,c0,Cluster_1
0.287308,0.435078,c0,Cluster_1
0.281613,0.646411,c0,Cluster_0
0.286967,0.549664,c0,Cluster_2
0.194357,0.329583,c0,Cluster_2
0.306914,0.326632,c0,Cluster_2
0.292023,0.406084,c0,Cluster_1
0.303205,0.512306,c0,Cluster_1
0.284934,0.452902,c0,Cluster_1
0.284818,0.477405,c0,Cluster_1
0.286724,0.453586,c0,Cluster_1
0.356345,0.450251,c0,Cluster_1
0.303938,0.549164,c0,Cluster_0
0.283842,0.554915,c0,Cluster_0
0.265899,0.49482,c0,Cluster_1
0.279595,0.527895,c0,Cluster_2
0.229458,0.458023,c0,Cluster_1
0.296351,0.661614,c0,Cluster_0
0.198151,0.652411,c0,Cluster_0
